time,sensor_id,temp,pres,hum
2020-09-27T00:00:02,33,21.51,989.4,50.02
2020-09-27T00:01:02,33,21.52,989.38,49.92
2020-09-27T00:02:02,33,21.52,989.42,49.79
2020-09-27T00:03:02,33,21.53,989.45,49.62
2020-09-27T00:04:02,33,21.52,989.45,49.76
2020-09-27T00:05:02,33,21.53,989.45,49.84
2020-09-27T00:06:02,33,21.54,989.46,49.67
2020-09-27T00:07:02,33,21.54,989.47,49.82
2020-09-27T00:08:02,33,21.53,989.51,49.98
2020-09-27T00:09:03,33,21.52,989.51,49.95
2020-09-27T00:10:02,33,21.52,989.44,49.93
2020-09-27T00:11:03,33,21.53,989.47,49.78
2020-09-27T00:12:02,33,21.53,989.49,49.78
2020-09-27T00:13:02,33,21.52,989.49,49.32
2020-09-27T00:14:03,33,21.53,989.5,49.85
2020-09-27T00:15:02,33,21.53,989.49,49.83
2020-09-27T00:16:02,33,21.52,989.49,49.87
2020-09-27T00:17:02,33,21.51,989.56,50.02
2020-09-27T00:18:02,33,21.52,989.66,49.6
2020-09-27T00:19:02,33,21.51,989.66,50.03
2020-09-27T00:20:02,33,21.52,989.64,49.76
2020-09-27T00:21:03,33,21.52,989.67,49.56
2020-09-27T00:22:02,33,21.52,989.69,49.83
2020-09-27T00:23:03,33,21.52,989.69,49.88
2020-09-27T00:24:02,33,21.52,989.7,49.76
2020-09-27T00:25:02,33,21.52,989.71,49.52
2020-09-27T00:26:02,33,21.52,989.76,49.77
2020-09-27T00:27:02,33,21.51,989.8,49.8
2020-09-27T00:28:02,33,21.52,989.76,49.73
2020-09-27T00:29:02,33,21.53,989.78,49.78
2020-09-27T00:30:02,33,21.52,989.8,49.76
2020-09-27T00:31:02,33,21.51,989.82,49.88
2020-09-27T00:32:03,33,21.52,989.84,49.71
2020-09-27T00:33:02,33,21.52,989.85,49.73
2020-09-27T00:34:03,33,21.52,989.87,49.82
2020-09-27T00:35:02,33,21.51,989.87,49.76
2020-09-27T00:36:02,33,21.51,989.85,49.72
2020-09-27T00:37:02,33,21.51,989.85,49.76
2020-09-27T00:38:02,33,21.52,989.85,49.59
2020-09-27T00:39:02,33,21.52,989.91,49.82
2020-09-27T00:40:02,33,21.51,989.97,49.68
2020-09-27T00:41:03,33,21.52,989.97,49.52
2020-09-27T00:42:02,33,21.53,989.92,49.7
2020-09-27T00:43:03,33,21.52,989.9,49.65
2020-09-27T00:44:02,33,21.52,989.91,49.5
2020-09-27T00:45:03,33,21.51,989.9,49.81
2020-09-27T00:46:02,33,21.52,989.83,49.64
2020-09-27T00:47:02,33,21.53,989.87,49.82
2020-09-27T00:48:02,33,21.53,989.94,49.6
2020-09-27T00:49:02,33,21.53,989.93,49.55
2020-09-27T00:50:02,33,21.51,989.9,49.43
2020-09-27T00:51:02,33,21.53,989.86,49.49
2020-09-27T00:52:03,33,21.53,989.89,49.67
2020-09-27T00:53:02,33,21.53,989.96,49.38
2020-09-27T00:54:03,33,21.52,989.97,49.37
2020-09-27T00:55:02,33,21.52,989.95,49.54
2020-09-27T00:56:02,33,21.51,989.96,49.6
2020-09-27T00:57:02,33,21.51,989.93,49.5
2020-09-27T00:58:02,33,21.51,989.95,49.4
2020-09-27T00:59:02,33,21.52,989.97,49.5
2020-09-27T01:00:02,33,21.51,989.92,49.44
2020-09-27T01:01:02,33,21.51,989.96,49.24
2020-09-27T01:02:02,33,21.51,989.95,49.37
2020-09-27T01:03:02,33,21.52,989.98,49.37
2020-09-27T01:04:02,33,21.51,990.0,49.51
2020-09-27T01:05:03,33,21.5,990.02,49.62
2020-09-27T01:06:02,33,21.51,989.98,49.24
2020-09-27T01:07:03,33,21.51,989.99,49.52
2020-09-27T01:08:02,33,21.5,990.06,49.31
2020-09-27T01:09:02,33,21.5,990.04,49.2
2020-09-27T01:10:02,33,21.48,990.03,49.5
2020-09-27T01:11:02,33,21.49,990.08,49.32
2020-09-27T01:12:02,33,21.48,990.08,49.27
2020-09-27T01:13:02,33,21.48,990.07,49.27
2020-09-27T01:14:02,33,21.48,990.11,49.22
2020-09-27T01:15:02,33,21.48,990.1,49.34
2020-09-27T01:16:03,33,21.47,990.1,49.17
2020-09-27T01:17:02,33,21.47,990.09,49.19
2020-09-27T01:18:03,33,21.47,990.11,49.36
2020-09-27T01:19:02,33,21.47,990.15,49.37
2020-09-27T01:20:02,33,21.47,990.15,49.4
2020-09-27T01:21:02,33,21.46,990.12,49.28
2020-09-27T01:22:02,33,21.46,990.17,49.25
2020-09-27T01:23:02,33,21.46,990.17,49.18
2020-09-27T01:24:02,33,21.46,990.11,49.28
2020-09-27T01:25:02,33,21.47,990.15,49.39
2020-09-27T01:26:02,33,21.46,990.11,49.12
2020-09-27T01:27:02,33,21.46,990.16,49.29
2020-09-27T01:28:02,33,21.46,990.14,49.07
