time,sensor_id,temp,pres,hum
2020-09-16T00:00:03,33,24.96,1009.25,53.6
2020-09-16T00:01:02,33,24.96,1009.24,53.6
2020-09-16T00:02:02,33,24.93,1009.26,53.58
2020-09-16T00:03:02,33,24.95,1009.23,53.58
2020-09-16T00:04:02,33,24.95,1009.19,53.41
2020-09-16T00:05:02,33,24.95,1009.21,53.53
2020-09-16T00:06:02,33,24.94,1009.2,53.48
2020-09-16T00:07:02,33,24.95,1009.17,53.57
2020-09-16T00:08:02,33,24.93,1009.15,53.62
2020-09-16T00:09:03,33,24.94,1009.2,53.37
2020-09-16T00:10:02,33,24.94,1009.18,53.61
2020-09-16T00:11:02,33,24.95,1009.2,53.66
2020-09-16T00:12:02,33,24.94,1009.23,53.5
2020-09-16T00:13:02,33,24.94,1009.17,53.52
2020-09-16T00:14:02,33,24.94,1009.17,53.44
2020-09-16T00:15:02,33,24.94,1009.22,53.64
2020-09-16T00:16:02,33,24.94,1009.2,53.63
2020-09-16T00:17:02,33,24.95,1009.2,53.69
2020-09-16T00:18:03,33,24.93,1009.2,53.49
2020-09-16T00:19:02,33,24.94,1009.22,53.5
2020-09-16T00:20:03,33,24.93,1009.22,53.62
2020-09-16T00:21:02,33,24.93,1009.17,53.63
2020-09-16T00:22:02,33,24.93,1009.2,53.62
2020-09-16T00:23:02,33,24.93,1009.19,53.5
2020-09-16T00:24:02,33,24.92,1009.21,53.54
2020-09-16T00:25:03,33,24.92,1009.18,53.4
2020-09-16T00:26:02,33,24.92,1009.17,53.79
2020-09-16T00:27:03,33,24.91,1009.19,53.59
2020-09-16T00:28:02,33,24.92,1009.21,53.65
2020-09-16T00:29:02,33,24.9,1009.17,53.84
2020-09-16T00:30:02,33,24.9,1009.14,53.55
2020-09-16T00:31:02,33,24.91,1009.16,53.83
2020-09-16T00:32:02,33,24.89,1009.12,53.63
2020-09-16T00:33:02,33,24.9,1009.13,53.7
2020-09-16T00:34:03,33,24.89,1009.13,53.52
2020-09-16T00:35:02,33,24.89,1009.06,53.7
2020-09-16T00:36:03,33,24.89,1009.1,53.81
2020-09-16T00:37:02,33,24.89,1009.13,53.69
2020-09-16T00:38:02,33,24.9,1009.1,53.62
2020-09-16T00:39:02,33,24.9,1009.05,53.74
2020-09-16T00:40:02,33,24.89,1009.1,53.81
2020-09-16T00:41:02,33,24.9,1009.08,53.6
2020-09-16T00:42:02,33,24.9,1009.07,53.8
2020-09-16T00:43:03,33,24.89,1009.06,53.85
2020-09-16T00:44:02,33,24.89,1009.08,53.7
2020-09-16T00:45:03,33,24.89,1009.09,53.8
2020-09-16T00:46:02,33,24.9,1009.09,53.59
2020-09-16T00:47:02,33,24.89,1009.07,53.79
2020-09-16T00:48:02,33,24.89,1009.04,53.61
2020-09-16T00:49:02,33,24.9,1009.01,53.84
2020-09-16T00:50:02,33,24.88,1009.03,53.57
2020-09-16T00:51:02,33,24.87,1009.04,53.79
2020-09-16T00:52:02,33,24.88,1009.03,53.75
2020-09-16T00:53:02,33,24.86,1009.08,53.89
2020-09-16T00:54:03,33,24.85,1009.06,53.75
2020-09-16T00:55:02,33,24.86,1009.04,53.86
2020-09-16T00:56:02,33,24.86,1009.05,53.65
2020-09-16T00:57:03,33,24.85,1009.04,53.96
2020-09-16T00:58:02,33,24.86,1009.03,53.69
2020-09-16T00:59:03,33,24.86,1009.04,53.91
2020-09-16T01:00:02,33,24.85,1009.09,53.91
2020-09-16T01:01:02,33,24.86,1009.05,53.69
2020-09-16T01:02:02,33,24.85,1009.09,53.73
2020-09-16T01:03:02,33,24.85,1009.06,53.78
