time,sensor_id,temp,pres
2020-09-29T00:00:02,32,23.64,1000.94
2020-09-29T00:01:03,32,23.65,1000.96
2020-09-29T00:02:02,32,23.64,1000.96
2020-09-29T00:03:03,32,23.64,1000.93
2020-09-29T00:04:02,32,23.64,1000.93
2020-09-29T00:05:03,32,23.64,1000.94
2020-09-29T00:06:02,32,23.64,1000.95
2020-09-29T00:07:03,32,23.64,1000.96
2020-09-29T00:08:02,32,23.63,1000.94
2020-09-29T00:09:03,32,23.63,1000.95
2020-09-29T00:10:02,32,23.63,1000.91
2020-09-29T00:11:02,32,23.63,1000.88
2020-09-29T00:12:02,32,23.64,1000.87
2020-09-29T00:13:03,32,23.64,1000.82
2020-09-29T00:14:02,32,23.64,1000.84
2020-09-29T00:15:03,32,23.64,1000.81
2020-09-29T00:16:02,32,23.63,1000.79
2020-09-29T00:17:02,32,23.63,1000.82
2020-09-29T00:18:02,32,23.62,1000.74
2020-09-29T00:19:02,32,23.63,1000.77
2020-09-29T00:20:02,32,23.63,1000.79
2020-09-29T00:21:03,32,23.63,1000.78
2020-09-29T00:22:02,32,23.64,1000.8
2020-09-29T00:23:02,32,23.63,1000.78
2020-09-29T00:24:02,32,23.63,1000.79
2020-09-29T00:25:02,32,23.65,1000.77
2020-09-29T00:26:02,32,23.63,1000.74
2020-09-29T00:27:02,32,23.65,1000.71
2020-09-29T00:28:02,32,23.65,1000.73
2020-09-29T00:29:02,32,23.63,1000.75
2020-09-29T00:30:02,32,23.64,1000.74
2020-09-29T00:31:02,32,23.64,1000.72
2020-09-29T00:32:02,32,23.65,1000.76
2020-09-29T00:33:02,32,23.64,1000.72
2020-09-29T00:34:02,32,23.65,1000.76
2020-09-29T00:35:02,32,23.63,1000.75
2020-09-29T00:36:02,32,23.64,1000.76
2020-09-29T00:37:02,32,23.64,1000.75
2020-09-29T00:38:02,32,23.63,1000.78
2020-09-29T00:39:02,32,23.63,1000.76
2020-09-29T00:40:02,32,23.63,1000.78
2020-09-29T00:41:03,32,23.64,1000.81
2020-09-29T00:42:02,32,23.64,1000.81
2020-09-29T00:43:02,32,23.64,1000.79
2020-09-29T00:44:02,32,23.65,1000.8
2020-09-29T00:45:02,32,23.65,1000.76
2020-09-29T00:46:02,32,23.64,1000.8
2020-09-29T00:47:02,32,23.63,1000.8
2020-09-29T00:48:02,32,23.64,1000.79
2020-09-29T00:49:02,32,23.64,1000.81
2020-09-29T00:50:02,32,23.63,1000.76
2020-09-29T00:51:02,32,23.63,1000.84
2020-09-29T00:52:02,32,23.63,1000.83
2020-09-29T00:53:02,32,23.63,1000.86
2020-09-29T00:54:02,32,23.63,1000.92
2020-09-29T00:55:02,32,23.64,1000.93
2020-09-29T00:56:02,32,23.63,1000.93
2020-09-29T00:57:02,32,23.62,1000.94
2020-09-29T00:58:02,32,23.63,1000.92
2020-09-29T00:59:02,32,23.63,1000.93
2020-09-29T01:00:02,32,23.64,1000.88
2020-09-29T01:01:02,32,23.64,1000.9
2020-09-29T01:02:02,32,23.63,1000.88
2020-09-29T01:03:02,32,23.62,1000.87
2020-09-29T01:04:02,32,23.61,1000.88
2020-09-29T01:05:02,32,23.62,1000.89
2020-09-29T01:06:02,32,23.62,1000.92
2020-09-29T01:07:02,32,23.63,1000.91
2020-09-29T01:08:02,32,23.61,1000.97
2020-09-29T01:09:02,32,23.61,1000.93
2020-09-29T01:10:02,32,23.63,1000.98
2020-09-29T01:11:02,32,23.61,1000.96
2020-09-29T01:12:02,32,23.61,1000.95
2020-09-29T01:13:02,32,23.62,1000.93
2020-09-29T01:14:02,32,23.62,1000.89
2020-09-29T01:15:02,32,23.62,1000.95
2020-09-29T01:16:02,32,23.61,1000.95
2020-09-29T01:17:02,32,23.62,1000.95
2020-09-29T01:18:03,32,23.61,1000.92
2020-09-29T01:19:02,32,23.61,1000.99
2020-09-29T01:20:03,32,23.62,1000.95
2020-09-29T01:21:02,32,23.62,1000.93
2020-09-29T01:22:03,32,23.62,1000.92
2020-09-29T01:23:02,32,23.62,1000.95
2020-09-29T01:24:03,32,23.61,1000.96
2020-09-29T01:25:02,32,23.61,1000.98
2020-09-29T01:26:03,32,23.61,1000.98
2020-09-29T01:27:02,32,23.62,1001.01
2020-09-29T01:28:03,32,23.61,1001.04
2020-09-29T01:29:02,32,23.62,1001.01
2020-09-29T01:30:03,32,23.62,1001.02
2020-09-29T01:31:02,32,23.62,1001.01
2020-09-29T01:32:03,32,23.61,1001.01
2020-09-29T01:33:02,32,23.61,1001.0
2020-09-29T01:34:02,32,23.63,1000.99
2020-09-29T01:35:02,32,23.61,1000.98
2020-09-29T01:36:03,32,23.59,1000.97
2020-09-29T01:37:02,32,23.6,1001.0
2020-09-29T01:38:03,32,23.61,1000.94
2020-09-29T01:39:02,32,23.62,1000.95
2020-09-29T01:40:02,32,23.62,1000.95
2020-09-29T01:41:02,32,23.62,1000.94
2020-09-29T01:42:03,32,23.61,1000.95
2020-09-29T01:43:02,32,23.6,1000.96
2020-09-29T01:44:03,32,23.6,1000.97
2020-09-29T01:45:02,32,23.61,1001.0
2020-09-29T01:46:02,32,23.61,1001.04
2020-09-29T01:47:02,32,23.62,1001.04
2020-09-29T01:48:02,32,23.61,1001.03
2020-09-29T01:49:02,32,23.62,1001.06
2020-09-29T01:50:02,32,23.61,1001.04
2020-09-29T01:51:02,32,23.61,1001.05
