time,sensor_id,temp,pres,hum
2020-09-28T00:00:02,33,21.29,997.84,47.12
2020-09-28T00:01:03,33,21.28,997.81,46.93
2020-09-28T00:02:02,33,21.28,997.82,46.87
2020-09-28T00:03:03,33,21.28,997.88,46.86
2020-09-28T00:04:02,33,21.27,997.79,46.86
2020-09-28T00:05:02,33,21.27,997.9,47.12
2020-09-28T00:06:02,33,21.27,997.94,46.78
2020-09-28T00:07:02,33,21.27,997.89,46.96
2020-09-28T00:08:02,33,21.28,997.94,46.95
2020-09-28T00:09:02,33,21.27,997.93,47.12
2020-09-28T00:10:02,33,21.26,997.96,46.87
2020-09-28T00:11:02,33,21.28,997.93,46.73
2020-09-28T00:12:03,33,21.28,997.86,47.05
2020-09-28T00:13:02,33,21.26,997.89,46.91
2020-09-28T00:14:03,33,21.27,997.9,47.1
2020-09-28T00:15:02,33,21.27,997.78,46.98
2020-09-28T00:16:02,33,21.26,997.78,47.23
2020-09-28T00:17:03,33,21.27,997.75,46.99
2020-09-28T00:18:02,33,21.26,997.76,46.85
2020-09-28T00:19:02,33,21.26,997.74,46.93
2020-09-28T00:20:02,33,21.26,997.71,46.87
2020-09-28T00:21:02,33,21.26,997.7,46.94
2020-09-28T00:22:02,33,21.26,997.69,46.99
2020-09-28T00:23:02,33,21.26,997.66,46.76
2020-09-28T00:24:03,33,21.27,997.62,46.96
2020-09-28T00:25:02,33,21.26,997.62,47.06
2020-09-28T00:26:03,33,21.27,997.66,47.09
2020-09-28T00:27:02,33,21.27,997.64,47.13
2020-09-28T00:28:02,33,21.27,997.63,46.9
2020-09-28T00:29:02,33,21.27,997.61,47.0
2020-09-28T00:30:02,33,21.27,997.53,47.15
2020-09-28T00:31:02,33,21.27,997.59,47.06
2020-09-28T00:32:02,33,21.28,997.64,47.15
2020-09-28T00:33:03,33,21.29,997.61,46.95
2020-09-28T00:34:02,33,21.28,997.64,47.04
2020-09-28T00:35:02,33,21.28,997.65,47.07
2020-09-28T00:36:02,33,21.28,997.71,47.07
2020-09-28T00:37:02,33,21.28,997.67,47.0
2020-09-28T00:38:02,33,21.28,997.61,47.02
2020-09-28T00:39:02,33,21.29,997.6,47.09
2020-09-28T00:40:03,33,21.28,997.59,47.14
2020-09-28T00:41:02,33,21.27,997.62,47.0
2020-09-28T00:42:03,33,21.28,997.64,47.13
