time,sensor_id,temp,pres,hum
2020-10-04T00:00:02,33,23.93,989.39,53.06
2020-10-04T00:01:02,33,23.93,989.33,52.74
2020-10-04T00:02:02,33,23.94,989.26,52.89
2020-10-04T00:03:03,33,23.93,989.15,52.75
2020-10-04T00:04:02,33,23.94,989.07,53.0
2020-10-04T00:05:03,33,23.92,989.03,52.9
2020-10-04T00:06:02,33,23.93,988.99,52.95
2020-10-04T00:07:02,33,23.94,989.0,52.82
2020-10-04T00:08:02,33,23.95,988.94,52.82
2020-10-04T00:09:02,33,23.95,988.92,52.92
2020-10-04T00:10:03,33,23.95,988.82,53.02
2020-10-04T00:11:02,33,23.96,988.82,52.87
2020-10-04T00:12:02,33,23.96,988.83,52.96
2020-10-04T00:13:02,33,23.95,988.84,52.69
2020-10-04T00:14:02,33,23.95,988.78,52.7
2020-10-04T00:15:03,33,23.96,988.87,52.73
2020-10-04T00:16:02,33,23.96,988.9,52.81
2020-10-04T00:17:02,33,23.96,988.89,52.7
2020-10-04T00:18:02,33,23.95,989.01,52.92
2020-10-04T00:19:02,33,23.95,988.93,52.73
2020-10-04T00:20:02,33,23.95,988.91,52.77
2020-10-04T00:21:02,33,23.96,988.94,52.67
2020-10-04T00:22:03,33,23.96,988.88,52.86
2020-10-04T00:23:02,33,23.96,988.92,52.85
2020-10-04T00:24:03,33,23.95,988.92,52.73
2020-10-04T00:25:02,33,23.94,988.87,52.82
2020-10-04T00:26:02,33,23.95,988.84,52.83
2020-10-04T00:27:02,33,23.94,988.84,52.79
2020-10-04T00:28:02,33,23.95,988.83,52.74
2020-10-04T00:29:02,33,23.94,988.86,52.9
2020-10-04T00:30:02,33,23.94,988.86,52.81
2020-10-04T00:31:03,33,23.94,988.82,52.95
2020-10-04T00:32:02,33,23.94,988.77,52.71
2020-10-04T00:33:02,33,23.94,988.69,52.9
2020-10-04T00:34:02,33,23.94,988.62,52.79
2020-10-04T00:35:02,33,23.93,988.61,52.95
2020-10-04T00:36:02,33,23.95,988.63,52.83
2020-10-04T00:37:02,33,23.94,988.58,52.86
2020-10-04T00:38:02,33,23.95,988.55,52.93
2020-10-04T00:39:02,33,23.95,988.41,52.98
2020-10-04T00:40:02,33,23.95,988.35,52.93
2020-10-04T00:41:03,33,23.94,988.32,52.92
2020-10-04T00:42:02,33,23.95,988.26,52.74
2020-10-04T00:43:02,33,23.94,988.27,52.72
2020-10-04T00:44:02,33,23.93,988.32,52.91
2020-10-04T00:45:02,33,23.95,988.36,52.86
2020-10-04T00:46:02,33,23.94,988.31,52.84
2020-10-04T00:47:02,33,23.94,988.23,52.86
2020-10-04T00:48:03,33,23.94,988.17,52.98
2020-10-04T00:49:02,33,23.93,988.22,52.83
2020-10-04T00:50:03,33,23.93,988.25,52.81
2020-10-04T00:51:02,33,23.92,988.22,52.73
2020-10-04T00:52:02,33,23.92,988.19,52.74
2020-10-04T00:53:02,33,23.91,988.16,52.81
2020-10-04T00:54:02,33,23.92,988.23,52.74
2020-10-04T00:55:02,33,23.91,988.29,53.06
2020-10-04T00:56:02,33,23.92,988.25,53.02
2020-10-04T00:57:03,33,23.9,988.21,52.94
2020-10-04T00:58:02,33,23.9,988.15,52.86
2020-10-04T00:59:02,33,23.9,988.16,53.02
2020-10-04T01:00:02,33,23.91,988.17,53.0
2020-10-04T01:01:02,33,23.89,988.26,53.04
2020-10-04T01:02:02,33,23.9,988.25,52.8
2020-10-04T01:03:02,33,23.9,988.23,53.03
2020-10-04T01:04:02,33,23.9,988.15,52.95
2020-10-04T01:05:02,33,23.9,988.13,52.83
2020-10-04T01:06:02,33,23.9,988.17,53.06
2020-10-04T01:07:02,33,23.91,988.15,52.89
2020-10-04T01:08:02,33,23.92,988.15,52.87
2020-10-04T01:09:02,33,23.92,988.07,52.88
2020-10-04T01:10:02,33,23.92,988.01,52.82
2020-10-04T01:11:02,33,23.92,987.92,52.92
2020-10-04T01:12:02,33,23.92,987.81,53.06
2020-10-04T01:13:02,33,23.93,987.77,53.0
2020-10-04T01:14:02,33,23.93,987.73,52.79
2020-10-04T01:15:02,33,23.92,987.7,52.75
2020-10-04T01:16:03,33,23.92,987.74,53.03
2020-10-04T01:17:02,33,23.92,987.75,52.96
2020-10-04T01:18:03,33,23.9,987.67,52.97
2020-10-04T01:19:02,33,23.89,987.65,52.92
2020-10-04T01:20:02,33,23.9,987.63,52.93
2020-10-04T01:21:02,33,23.9,987.63,52.96
2020-10-04T01:22:02,33,23.89,987.66,52.9
2020-10-04T01:23:02,33,23.89,987.63,52.93
2020-10-04T01:24:02,33,23.89,987.6,52.9
2020-10-04T01:25:02,33,23.88,987.57,52.93
2020-10-04T01:26:02,33,23.88,987.56,53.11
2020-10-04T01:27:03,33,23.89,987.51,52.78
2020-10-04T01:28:02,33,23.89,987.45,52.84
2020-10-04T01:29:03,33,23.89,987.42,53.05
2020-10-04T01:30:02,33,23.89,987.36,52.85
2020-10-04T01:31:03,33,23.87,987.27,52.84
2020-10-04T01:32:02,33,23.87,987.27,52.9
2020-10-04T01:33:02,33,23.87,987.22,52.83
2020-10-04T01:34:02,33,23.89,987.13,52.89
2020-10-04T01:35:02,33,23.87,987.04,53.0
2020-10-04T01:36:02,33,23.89,987.0,53.07
2020-10-04T01:37:02,33,23.89,987.08,53.06
2020-10-04T01:38:03,33,23.9,987.04,53.03
2020-10-04T01:39:02,33,23.9,987.03,52.92
2020-10-04T01:40:03,33,23.89,986.94,52.91
2020-10-04T01:41:02,33,23.91,986.85,52.94
2020-10-04T01:42:02,33,23.91,986.86,52.87
2020-10-04T01:43:02,33,23.92,986.85,52.96
2020-10-04T01:44:02,33,23.91,986.86,52.75
2020-10-04T01:45:02,33,23.9,986.91,52.79
2020-10-04T01:46:02,33,23.92,986.81,52.76
2020-10-04T01:47:02,33,23.91,986.8,52.95
2020-10-04T01:48:02,33,23.91,986.87,52.77
2020-10-04T01:49:03,33,23.9,986.78,52.78
2020-10-04T01:50:02,33,23.9,986.7,52.79
2020-10-04T01:51:03,33,23.88,986.6,52.83
2020-10-04T01:52:02,33,23.89,986.55,52.82
2020-10-04T01:53:02,33,23.87,986.48,53.03
2020-10-04T01:54:03,33,23.87,986.39,52.55
2020-10-04T01:55:02,33,23.86,986.34,52.96
2020-10-04T01:56:02,33,23.84,986.35,52.93
2020-10-04T01:57:02,33,23.85,986.31,53.06
2020-10-04T01:58:02,33,23.85,986.28,53.06
2020-10-04T01:59:02,33,23.86,986.11,53.07
2020-10-04T02:00:02,33,23.86,986.08,52.97
2020-10-04T02:01:03,33,23.86,986.08,53.11
2020-10-04T02:02:02,33,23.86,986.02,53.06
2020-10-04T02:03:03,33,23.87,985.99,52.9
2020-10-04T02:04:02,33,23.88,985.94,52.97
2020-10-04T02:05:02,33,23.88,985.97,53.0
2020-10-04T02:06:02,33,23.87,985.96,52.98
2020-10-04T02:07:02,33,23.88,985.91,52.97
2020-10-04T02:08:03,33,23.88,985.9,52.9
2020-10-04T02:09:02,33,23.89,985.82,52.9
2020-10-04T02:10:03,33,23.89,985.68,52.87
2020-10-04T02:11:03,33,23.9,985.6,53.09
2020-10-04T02:12:02,33,23.89,985.54,52.82
2020-10-04T02:13:03,33,23.89,985.59,52.88
2020-10-04T02:14:02,33,23.9,985.54,52.84
2020-10-04T02:15:03,33,23.9,985.46,52.98
2020-10-04T02:16:02,33,23.9,985.41,52.95
2020-10-04T02:17:02,33,23.9,985.41,52.78
2020-10-04T02:18:02,33,23.89,985.41,52.89
2020-10-04T02:19:02,33,23.89,985.34,52.77
2020-10-04T02:20:03,33,23.89,985.17,52.84
2020-10-04T02:21:02,33,23.88,985.07,52.8
2020-10-04T02:22:02,33,23.87,985.07,52.88
2020-10-04T02:23:02,33,23.87,985.1,52.75
2020-10-04T02:24:02,33,23.86,985.06,52.95
2020-10-04T02:25:02,33,23.86,985.07,52.66
2020-10-04T02:26:02,33,23.84,985.06,52.86
2020-10-04T02:27:02,33,23.84,985.09,52.74
2020-10-04T02:28:02,33,23.84,984.92,53.04
2020-10-04T02:29:02,33,23.84,984.89,52.9
2020-10-04T02:30:02,33,23.83,984.91,53.04
2020-10-04T02:31:03,33,23.83,984.89,53.05
2020-10-04T02:32:02,33,23.84,984.9,52.87
2020-10-04T02:33:03,33,23.83,984.91,53.13
2020-10-04T02:34:02,33,23.84,984.98,52.9
2020-10-04T02:35:03,33,23.83,984.95,52.7
2020-10-04T02:36:02,33,23.84,984.93,52.94
2020-10-04T02:37:02,33,23.86,984.91,52.96
2020-10-04T02:38:02,33,23.86,984.8,53.01
2020-10-04T02:39:02,33,23.85,984.9,53.05
2020-10-04T02:40:03,33,23.87,984.88,52.9
2020-10-04T02:41:02,33,23.87,984.84,53.01
2020-10-04T02:42:03,33,23.88,985.0,52.8
2020-10-04T02:43:02,33,23.87,985.11,52.9
2020-10-04T02:44:02,33,23.89,985.19,52.88
2020-10-04T02:45:02,33,23.9,985.14,53.07
2020-10-04T02:46:02,33,23.89,985.08,52.67
2020-10-04T02:47:02,33,23.9,985.09,52.82
2020-10-04T02:48:02,33,23.9,985.06,52.57
2020-10-04T02:49:02,33,23.9,985.11,52.61
2020-10-04T02:50:02,33,23.9,985.07,52.82
2020-10-04T02:51:03,33,23.9,985.02,52.93
2020-10-04T02:52:02,33,23.9,984.92,52.81
2020-10-04T02:53:03,33,23.89,984.85,52.8
2020-10-04T02:54:02,33,23.88,984.77,52.98
2020-10-04T02:55:02,33,23.89,984.71,52.84
2020-10-04T02:56:03,33,23.87,984.7,52.84
2020-10-04T02:57:02,33,23.88,984.67,52.74
2020-10-04T02:58:03,33,23.86,984.74,52.98
2020-10-04T02:59:02,33,23.87,984.79,52.73
2020-10-04T03:00:02,33,23.87,984.82,52.92
2020-10-04T03:01:02,33,23.88,984.76,52.97
2020-10-04T03:02:02,33,23.87,984.73,52.97
2020-10-04T03:03:02,33,23.87,984.66,52.69
2020-10-04T03:04:02,33,23.88,984.53,52.78
2020-10-04T03:05:02,33,23.88,984.66,52.81
2020-10-04T03:06:02,33,23.88,984.7,52.97
2020-10-04T03:07:03,33,23.89,985.04,52.91
2020-10-04T03:08:02,33,23.9,985.71,52.82
2020-10-04T03:09:03,33,23.9,986.76,52.79
2020-10-04T03:10:02,33,23.92,987.17,52.79
2020-10-04T03:11:03,33,23.92,987.82,52.78
2020-10-04T03:12:02,33,23.91,988.08,52.87
2020-10-04T03:13:02,33,23.91,988.19,53.01
2020-10-04T03:14:02,33,23.92,988.24,52.86
