time,sensor_id,temp,pres,hum
2020-09-08T00:00:02,33,23.62,1011.6,54.7
2020-09-08T00:01:02,33,23.63,1011.58,54.57
2020-09-08T00:02:02,33,23.65,1011.59,54.63
2020-09-08T00:03:02,33,23.64,1011.59,54.67
2020-09-08T00:04:02,33,23.64,1011.63,54.74
2020-09-08T00:05:02,33,23.63,1011.63,54.8
2020-09-08T00:06:02,33,23.63,1011.6,54.74
2020-09-08T00:07:02,33,23.63,1011.63,54.45
2020-09-08T00:08:02,33,23.62,1011.65,54.8
2020-09-08T00:09:02,33,23.63,1011.65,54.82
2020-09-08T00:10:02,33,23.63,1011.65,54.57
2020-09-08T00:11:02,33,23.62,1011.68,54.48
2020-09-08T00:12:02,33,23.61,1011.66,54.65
2020-09-08T00:13:02,33,23.61,1011.69,54.84
2020-09-08T00:14:02,33,23.6,1011.69,54.78
2020-09-08T00:15:02,33,23.6,1011.66,54.65
2020-09-08T00:16:02,33,23.59,1011.65,54.74
2020-09-08T00:17:02,33,23.6,1011.69,54.77
2020-09-08T00:18:02,33,23.6,1011.71,54.53
2020-09-08T00:19:02,33,23.61,1011.71,54.65
2020-09-08T00:20:02,33,23.61,1011.72,54.76
2020-09-08T00:21:02,33,23.61,1011.74,54.57
2020-09-08T00:22:02,33,23.6,1011.73,54.61
2020-09-08T00:23:02,33,23.59,1011.74,54.82
2020-09-08T00:24:02,33,23.6,1011.74,54.69
2020-09-08T00:25:02,33,23.59,1011.76,54.58
2020-09-08T00:26:02,33,23.58,1011.76,54.69
2020-09-08T00:27:02,33,23.59,1011.75,54.59
2020-09-08T00:28:02,33,23.59,1011.77,54.84
2020-09-08T00:29:02,33,23.57,1011.75,54.8
2020-09-08T00:30:02,33,23.58,1011.74,54.83
2020-09-08T00:31:02,33,23.58,1011.73,54.86
2020-09-08T00:32:02,33,23.56,1011.72,54.62
2020-09-08T00:33:02,33,23.59,1011.78,54.69
2020-09-08T00:34:02,33,23.59,1011.79,54.82
2020-09-08T00:35:02,33,23.58,1011.78,54.67
2020-09-08T00:36:02,33,23.57,1011.76,54.55
2020-09-08T00:37:02,33,23.59,1011.8,54.72
2020-09-08T00:38:02,33,23.57,1011.8,54.73
2020-09-08T00:39:02,33,23.57,1011.81,54.62
2020-09-08T00:40:02,33,23.57,1011.77,54.74
2020-09-08T00:41:02,33,23.56,1011.79,54.7
2020-09-08T00:42:02,33,23.56,1011.8,54.53
2020-09-08T00:43:02,33,23.56,1011.81,54.54
2020-09-08T00:44:02,33,23.55,1011.84,54.86
2020-09-08T00:45:02,33,23.55,1011.85,54.87
2020-09-08T00:46:02,33,23.54,1011.84,54.66
2020-09-08T00:47:02,33,23.54,1011.8,54.94
2020-09-08T00:48:02,33,23.55,1011.88,54.63
2020-09-08T00:49:03,33,23.55,1011.82,54.78
2020-09-08T00:50:02,33,23.53,1011.84,54.93
2020-09-08T00:51:02,33,23.54,1011.84,54.91
2020-09-08T00:52:02,33,23.54,1011.81,54.73
2020-09-08T00:53:02,33,23.53,1011.82,54.66
2020-09-08T00:54:02,33,23.54,1011.85,54.77
2020-09-08T00:55:02,33,23.54,1011.88,54.85
2020-09-08T00:56:02,33,23.54,1011.87,54.72
2020-09-08T00:57:02,33,23.53,1011.91,54.72
2020-09-08T00:58:02,33,23.52,1011.86,54.87
2020-09-08T00:59:02,33,23.51,1011.84,54.79
2020-09-08T01:00:02,33,23.51,1011.88,54.86
2020-09-08T01:01:02,33,23.53,1011.86,54.72
2020-09-08T01:02:02,33,23.53,1011.88,54.8
2020-09-08T01:03:02,33,23.52,1011.89,54.71
2020-09-08T01:04:02,33,23.52,1011.85,54.72
2020-09-08T01:05:02,33,23.53,1011.88,54.64
2020-09-08T01:06:02,33,23.52,1011.86,54.59
2020-09-08T01:07:02,33,23.52,1011.86,54.63
2020-09-08T01:08:02,33,23.52,1011.85,54.85
2020-09-08T01:09:02,33,23.52,1011.89,54.84
2020-09-08T01:10:02,33,23.52,1011.91,54.87
2020-09-08T01:11:02,33,23.52,1011.9,54.67
2020-09-08T01:12:02,33,23.51,1011.92,54.68
2020-09-08T01:13:02,33,23.5,1011.91,54.79
2020-09-08T01:14:02,33,23.51,1011.92,54.97
2020-09-08T01:15:02,33,23.5,1011.9,54.61
2020-09-08T01:16:02,33,23.5,1011.93,54.88
2020-09-08T01:17:02,33,23.5,1012.0,54.74
2020-09-08T01:18:02,33,23.48,1012.0,54.99
2020-09-08T01:19:02,33,23.47,1012.01,54.82
2020-09-08T01:20:02,33,23.47,1012.0,54.94
2020-09-08T01:21:02,33,23.48,1012.02,54.94
2020-09-08T01:22:02,33,23.47,1012.03,55.0
2020-09-08T01:23:02,33,23.46,1012.01,54.77
2020-09-08T01:24:02,33,23.46,1012.03,54.83
2020-09-08T01:25:02,33,23.47,1012.04,54.77
2020-09-08T01:26:02,33,23.46,1011.99,54.73
2020-09-08T01:27:02,33,23.46,1012.03,54.79
2020-09-08T01:28:02,33,23.45,1012.04,54.84
2020-09-08T01:29:02,33,23.46,1012.03,55.02
2020-09-08T01:30:02,33,23.45,1012.03,55.0
2020-09-08T01:31:02,33,23.46,1011.99,54.97
2020-09-08T01:32:02,33,23.47,1012.03,54.77
2020-09-08T01:33:02,33,23.46,1012.05,54.74
2020-09-08T01:34:02,33,23.46,1012.1,54.73
2020-09-08T01:35:02,33,23.46,1012.09,54.73
2020-09-08T01:36:02,33,23.45,1012.07,54.87
2020-09-08T01:37:02,33,23.46,1012.09,54.97
2020-09-08T01:38:02,33,23.46,1012.14,54.81
2020-09-08T01:39:02,33,23.46,1012.14,54.66
2020-09-08T01:40:02,33,23.45,1012.14,55.0
2020-09-08T01:41:02,33,23.46,1012.15,54.86
2020-09-08T01:42:02,33,23.45,1012.14,54.94
2020-09-08T01:43:02,33,23.45,1012.16,54.75
2020-09-08T01:44:02,33,23.45,1012.2,54.96
2020-09-08T01:45:02,33,23.45,1012.19,54.9
2020-09-08T01:46:02,33,23.46,1012.23,54.88
2020-09-08T01:47:02,33,23.44,1012.25,54.96
2020-09-08T01:48:02,33,23.44,1012.25,54.68
2020-09-08T01:49:02,33,23.43,1012.21,54.82
2020-09-08T01:50:02,33,23.42,1012.24,54.77
2020-09-08T01:51:02,33,23.42,1012.22,54.84
2020-09-08T01:52:02,33,23.42,1012.22,54.95
2020-09-08T01:53:02,33,23.41,1012.22,54.71
2020-09-08T01:54:02,33,23.41,1012.25,54.88
2020-09-08T01:55:02,33,23.42,1012.21,54.83
2020-09-08T01:56:02,33,23.42,1012.2,54.73
2020-09-08T01:57:02,33,23.4,1012.22,54.78
2020-09-08T01:58:02,33,23.4,1012.23,54.89
2020-09-08T01:59:02,33,23.4,1012.23,55.01
2020-09-08T02:00:03,33,23.39,1012.26,54.82
2020-09-08T02:01:02,33,23.4,1012.29,55.01
2020-09-08T02:02:03,33,23.4,1012.29,54.85
2020-09-08T02:03:02,33,23.39,1012.27,54.71
2020-09-08T02:04:03,33,23.4,1012.28,54.75
2020-09-08T02:05:02,33,23.4,1012.28,54.78
2020-09-08T02:06:03,33,23.4,1012.29,54.96
2020-09-08T02:07:02,33,23.4,1012.28,54.75
2020-09-08T02:08:03,33,23.4,1012.31,54.85
2020-09-08T02:09:02,33,23.39,1012.27,54.99
2020-09-08T02:10:03,33,23.39,1012.29,54.83
2020-09-08T02:11:02,33,23.41,1012.31,54.93
2020-09-08T02:12:03,33,23.39,1012.3,54.81
2020-09-08T02:13:02,33,23.39,1012.3,54.57
2020-09-08T02:14:03,33,23.41,1012.29,54.86
2020-09-08T02:15:02,33,23.4,1012.32,54.76
2020-09-08T02:16:03,33,23.39,1012.33,54.81
2020-09-08T02:17:02,33,23.39,1012.32,54.72
2020-09-08T02:18:03,33,23.38,1012.32,54.68
2020-09-08T02:19:02,33,23.39,1012.33,54.86
2020-09-08T02:20:02,33,23.38,1012.32,54.86
2020-09-08T02:21:02,33,23.37,1012.35,54.88
