time,sensor_id,temp,pres,hum
2020-10-05T00:00:02,33,24.95,998.03,49.03
2020-10-05T00:01:02,33,24.96,998.03,49.21
2020-10-05T00:02:02,33,24.95,998.1,49.19
2020-10-05T00:03:03,33,24.93,998.1,49.04
2020-10-05T00:04:02,33,24.94,998.06,49.21
2020-10-05T00:05:03,33,24.94,998.07,48.99
2020-10-05T00:06:02,33,24.96,998.05,48.84
2020-10-05T00:07:03,33,24.95,998.03,48.95
2020-10-05T00:08:02,33,24.96,998.0,48.79
2020-10-05T00:09:02,33,24.97,998.03,49.12
2020-10-05T00:10:02,33,24.96,998.04,48.92
2020-10-05T00:11:02,33,24.97,998.06,49.26
2020-10-05T00:12:02,33,24.96,998.06,49.2
2020-10-05T00:13:02,33,24.96,998.08,48.89
2020-10-05T00:14:02,33,24.95,998.09,49.23
2020-10-05T00:15:02,33,24.96,998.04,49.06
2020-10-05T00:16:03,33,24.97,998.1,48.96
2020-10-05T00:17:02,33,24.97,998.12,48.87
2020-10-05T00:18:03,33,24.96,998.12,48.98
2020-10-05T00:19:02,33,24.96,998.13,49.03
2020-10-05T00:20:02,33,24.96,998.15,48.92
2020-10-05T00:21:02,33,24.94,998.15,49.13
2020-10-05T00:22:02,33,24.93,998.14,49.0
2020-10-05T00:23:03,33,24.93,998.12,49.09
2020-10-05T00:24:02,33,24.94,998.07,48.96
2020-10-05T00:25:03,33,24.95,998.05,48.96
2020-10-05T00:26:03,33,24.93,998.03,48.84
2020-10-05T00:27:02,33,24.94,998.01,49.05
2020-10-05T00:28:03,33,24.96,998.02,48.75
2020-10-05T00:29:02,33,24.96,997.99,48.99
2020-10-05T00:30:03,33,24.94,997.95,48.74
2020-10-05T00:31:02,33,24.93,997.94,48.76
2020-10-05T00:32:02,33,24.94,997.94,49.08
2020-10-05T00:33:03,33,24.93,997.92,48.82
2020-10-05T00:34:02,33,24.93,997.95,49.19
2020-10-05T00:35:03,33,24.92,997.99,48.94
2020-10-05T00:36:02,33,24.93,997.98,49.07
2020-10-05T00:37:03,33,24.93,997.93,49.01
2020-10-05T00:38:02,33,24.93,997.96,49.02
2020-10-05T00:39:02,33,24.93,997.91,48.87
2020-10-05T00:40:02,33,24.93,997.91,49.08
2020-10-05T00:41:02,33,24.97,997.89,48.73
2020-10-05T00:42:02,33,24.96,997.9,49.11
2020-10-05T00:43:02,33,24.96,997.92,49.12
2020-10-05T00:44:02,33,24.94,997.93,48.81
2020-10-05T00:45:02,33,24.95,997.95,48.93
2020-10-05T00:46:03,33,24.94,997.94,49.11
2020-10-05T00:47:02,33,24.94,997.96,49.0
2020-10-05T00:48:03,33,24.94,997.94,48.9
2020-10-05T00:49:02,33,24.94,997.95,48.96
2020-10-05T00:50:02,33,24.92,997.98,48.95
2020-10-05T00:51:03,33,24.92,997.93,49.07
2020-10-05T00:52:02,33,24.91,997.95,49.02
2020-10-05T00:53:02,33,24.9,997.97,49.1
2020-10-05T00:54:02,33,24.91,997.95,48.78
2020-10-05T00:55:02,33,24.91,997.96,49.06
2020-10-05T00:56:02,33,24.9,997.97,49.08
2020-10-05T00:57:02,33,24.89,997.96,48.88
2020-10-05T00:58:03,33,24.9,997.99,48.87
2020-10-05T00:59:02,33,24.9,997.95,48.89
2020-10-05T01:00:03,33,24.9,997.92,49.04
2020-10-05T01:01:02,33,24.9,997.87,49.12
2020-10-05T01:02:02,33,24.89,997.88,48.92
2020-10-05T01:03:02,33,24.89,997.83,49.13
2020-10-05T01:04:02,33,24.9,997.85,48.91
2020-10-05T01:05:02,33,24.91,997.85,48.81
2020-10-05T01:06:02,33,24.9,997.83,49.06
2020-10-05T01:07:03,33,24.91,997.85,48.92
2020-10-05T01:08:02,33,24.92,997.86,48.92
2020-10-05T01:09:02,33,24.91,997.82,48.98
2020-10-05T01:10:02,33,24.92,997.78,48.78
2020-10-05T01:11:02,33,24.92,997.76,49.11
2020-10-05T01:12:02,33,24.92,997.72,48.88
2020-10-05T01:13:02,33,24.93,997.72,49.0
2020-10-05T01:14:03,33,24.92,997.71,48.96
2020-10-05T01:15:02,33,24.92,997.68,48.88
2020-10-05T01:16:03,33,24.92,997.74,48.86
2020-10-05T01:17:02,33,24.92,997.72,48.85
2020-10-05T01:18:02,33,24.94,997.7,48.82
2020-10-05T01:19:02,33,24.93,997.74,49.05
2020-10-05T01:20:02,33,24.93,997.67,48.78
2020-10-05T01:21:02,33,24.91,997.64,48.85
2020-10-05T01:22:02,33,24.91,997.56,49.07
2020-10-05T01:23:03,33,24.9,997.55,48.89
2020-10-05T01:24:02,33,24.89,997.5,49.13
2020-10-05T01:25:03,33,24.9,997.5,48.81
2020-10-05T01:26:02,33,24.89,997.5,49.05
2020-10-05T01:27:02,33,24.89,997.53,49.05
2020-10-05T01:28:02,33,24.88,997.52,48.86
2020-10-05T01:29:02,33,24.87,997.5,49.08
2020-10-05T01:30:02,33,24.87,997.52,49.01
2020-10-05T01:31:02,33,24.87,997.55,48.91
2020-10-05T01:32:03,33,24.87,997.53,49.17
2020-10-05T01:33:02,33,24.86,997.54,48.9
2020-10-05T01:34:03,33,24.85,997.51,49.26
2020-10-05T01:35:02,33,24.87,997.53,49.09
2020-10-05T01:36:02,33,24.86,997.55,48.96
2020-10-05T01:37:03,33,24.87,997.51,49.02
2020-10-05T01:38:02,33,24.87,997.5,48.95
2020-10-05T01:39:02,33,24.87,997.51,49.05
2020-10-05T01:40:02,33,24.87,997.55,49.09
2020-10-05T01:41:02,33,24.88,997.56,49.07
2020-10-05T01:42:03,33,24.89,997.61,49.08
2020-10-05T01:43:02,33,24.9,997.62,48.85
2020-10-05T01:44:02,33,24.91,997.56,48.85
2020-10-05T01:45:02,33,24.9,997.53,49.03
2020-10-05T01:46:02,33,24.9,997.53,49.03
2020-10-05T01:47:02,33,24.89,997.48,49.14
2020-10-05T01:48:02,33,24.91,997.46,48.78
2020-10-05T01:49:03,33,24.92,997.44,48.79
2020-10-05T01:50:02,33,24.93,997.46,48.87
2020-10-05T01:51:02,33,24.92,997.48,48.98
2020-10-05T01:52:02,33,24.92,997.47,48.95
2020-10-05T01:53:02,33,24.91,997.45,48.97
2020-10-05T01:54:02,33,24.89,997.43,48.8
2020-10-05T01:55:02,33,24.89,997.41,49.05
2020-10-05T01:56:03,33,24.89,997.39,48.81
2020-10-05T01:57:02,33,24.87,997.36,49.04
2020-10-05T01:58:03,33,24.87,997.36,49.06
2020-10-05T01:59:02,33,24.86,997.36,48.98
2020-10-05T02:00:02,33,24.86,997.39,49.01
2020-10-05T02:01:02,33,24.86,997.38,48.81
2020-10-05T02:02:02,33,24.85,997.38,48.8
2020-10-05T02:03:02,33,24.85,997.34,48.83
2020-10-05T02:04:02,33,24.84,997.28,49.16
2020-10-05T02:05:02,33,24.84,997.26,49.03
2020-10-05T02:06:02,33,24.85,997.19,49.06
2020-10-05T02:07:03,33,24.86,997.16,48.79
2020-10-05T02:08:02,33,24.85,997.14,49.06
2020-10-05T02:09:02,33,24.85,997.13,49.01
2020-10-05T02:10:02,33,24.86,997.14,49.06
2020-10-05T02:11:02,33,24.86,997.19,48.77
2020-10-05T02:12:02,33,24.86,997.18,48.92
2020-10-05T02:13:02,33,24.85,997.2,48.91
2020-10-05T02:14:03,33,24.86,997.19,49.06
2020-10-05T02:15:02,33,24.87,997.16,48.78
2020-10-05T02:16:03,33,24.87,997.18,48.93
2020-10-05T02:17:02,33,24.88,997.21,48.81
2020-10-05T02:18:02,33,24.89,997.19,48.77
2020-10-05T02:19:02,33,24.87,997.18,49.05
2020-10-05T02:20:02,33,24.89,997.17,48.72
2020-10-05T02:21:02,33,24.9,997.12,48.9
2020-10-05T02:22:02,33,24.9,997.16,48.64
2020-10-05T02:23:02,33,24.89,997.11,48.8
2020-10-05T02:24:02,33,24.89,997.09,48.97
2020-10-05T02:25:03,33,24.88,997.08,48.88
2020-10-05T02:26:02,33,24.86,997.1,48.81
2020-10-05T02:27:02,33,24.88,997.05,48.82
2020-10-05T02:28:02,33,24.86,997.08,48.79
2020-10-05T02:29:02,33,24.86,997.09,48.74
2020-10-05T02:30:02,33,24.85,997.12,48.84
2020-10-05T02:31:02,33,24.84,997.11,48.9
2020-10-05T02:32:03,33,24.83,997.1,48.98
2020-10-05T02:33:02,33,24.84,997.07,48.99
2020-10-05T02:34:03,33,24.83,997.04,49.11
2020-10-05T02:35:02,33,24.83,996.98,49.05
2020-10-05T02:36:02,33,24.83,996.98,48.92
2020-10-05T02:37:02,33,24.84,996.99,49.02
2020-10-05T02:38:02,33,24.84,997.0,48.94
2020-10-05T02:39:03,33,24.84,997.02,49.09
2020-10-05T02:40:02,33,24.84,997.05,48.85
2020-10-05T02:41:03,33,24.85,997.02,48.92
2020-10-05T02:42:02,33,24.85,997.05,49.15
2020-10-05T02:43:02,33,24.85,997.06,48.91
2020-10-05T02:44:02,33,24.85,997.07,48.76
2020-10-05T02:45:02,33,24.86,997.07,48.82
2020-10-05T02:46:02,33,24.87,997.1,49.05
2020-10-05T02:47:02,33,24.87,997.1,48.7
2020-10-05T02:48:03,33,24.89,997.08,48.89
2020-10-05T02:49:02,33,24.9,997.1,48.95
2020-10-05T02:50:03,33,24.89,997.06,48.87
2020-10-05T02:51:02,33,24.9,997.07,48.72
2020-10-05T02:52:02,33,24.9,997.09,48.96
2020-10-05T02:53:02,33,24.91,997.07,48.84
2020-10-05T02:54:02,33,24.91,997.07,48.67
2020-10-05T02:55:02,33,24.9,997.11,48.78
2020-10-05T02:56:02,33,24.9,997.11,48.8
2020-10-05T02:57:02,33,24.89,997.07,48.78
2020-10-05T02:58:02,33,24.89,997.05,48.87
2020-10-05T02:59:03,33,24.89,996.99,48.7
2020-10-05T03:00:02,33,24.89,996.88,48.76
2020-10-05T03:01:02,33,24.87,996.9,48.91
2020-10-05T03:02:02,33,24.86,996.9,48.75
2020-10-05T03:03:02,33,24.86,996.89,48.99
2020-10-05T03:04:02,33,24.86,996.95,48.83
2020-10-05T03:05:02,33,24.87,997.0,49.07
2020-10-05T03:06:03,33,24.85,996.97,49.11
2020-10-05T03:07:02,33,24.86,996.98,49.07
2020-10-05T03:08:03,33,24.86,996.95,48.87
2020-10-05T03:09:02,33,24.87,996.95,49.05
2020-10-05T03:10:02,33,24.86,996.86,48.71
2020-10-05T03:11:02,33,24.86,996.89,48.94
2020-10-05T03:12:02,33,24.86,996.93,49.03
2020-10-05T03:13:02,33,24.87,996.96,48.8
2020-10-05T03:14:02,33,24.87,997.01,49.0
2020-10-05T03:15:03,33,24.87,997.04,49.08
2020-10-05T03:16:02,33,24.87,997.02,48.79
2020-10-05T03:17:02,33,24.88,997.01,48.78
2020-10-05T03:18:02,33,24.88,996.97,49.0
2020-10-05T03:19:02,33,24.88,996.96,49.0
2020-10-05T03:20:03,33,24.89,996.85,48.9
2020-10-05T03:21:02,33,24.88,996.83,48.86
2020-10-05T03:22:02,33,24.9,996.83,48.88
2020-10-05T03:23:02,33,24.9,996.79,48.81
2020-10-05T03:24:02,33,24.91,996.82,48.89
2020-10-05T03:25:02,33,24.9,996.82,49.0
2020-10-05T03:26:02,33,24.91,996.78,48.93
2020-10-05T03:27:02,33,24.9,996.77,48.74
2020-10-05T03:28:02,33,24.89,996.77,48.72
2020-10-05T03:29:03,33,24.89,996.78,48.99
2020-10-05T03:30:02,33,24.9,996.77,49.04
2020-10-05T03:31:03,33,24.89,996.72,48.77
2020-10-05T03:32:02,33,24.88,996.72,48.89
2020-10-05T03:33:02,33,24.87,996.63,48.83
2020-10-05T03:34:02,33,24.86,996.55,48.8
